iter	Passed	Remaining
340	2669	5159
341	2679	5155
342	2686	5145
343	2696	5141
344	2703	5132
345	2714	5130
346	2723	5124
347	2731	5117
348	2739	5109
349	2746	5100
350	2754	5092
351	2762	5085
352	2770	5078
353	2777	5069
354	2785	5061
355	2794	5055
356	2801	5046
357	2810	5039
358	2818	5032
359	2827	5026
360	2834	5017
361	2843	5011
362	2850	5002
363	2860	4997
364	2866	4987
365	2875	4981
366	2882	4972
367	2892	4967
368	2899	4958
369	2908	4951
370	2914	4941
371	2925	4938
372	2932	4929
373	2942	4924
374	2949	4915
375	2958	4909
376	2965	4900
377	2973	4893
378	2980	4883
379	2988	4876
380	2995	4866
381	3003	4858
382	3009	4848
383	3017	4841
384	3024	4831
385	3032	4823
386	3039	4814
387	3045	4804
388	3053	4796
389	3060	4786
390	3068	4778
391	3074	4769
392	3085	4766
393	3093	4758
394	3103	4753
395	3111	4746
396	3122	4742
397	3130	4734
398	3139	4729
399	3148	4722
400	3157	4716
401	3167	4711
402	3175	4703
403	3185	4699
404	3191	4689
405	3200	4683
406	3208	4675
407	3216	4667
408	3223	4658
409	3232	4651
410	3238	4641
411	3247	4634
412	3253	4624
